Sym	Venue	Direction	Entry	Exit	Reason	Gross	Fees	Net	Outcome	HoldMin	TimeOpen	TimeClose
ETH_HL	HL	LONG	2026	2026.2	TP	61.7	187.5	-125.8	WIN	0	14:36:04	14:36:10
XRP_MEXC	MEXC	LONG	1.3496000000000001	1.3498	TP	74.1	0	74.1	WIN	0	14:36:38	14:36:39
XRP_MEXC	MEXC	SHORT	1.3498	1.35	HARD_SL	-74.09	100	-174.09	LOSS	0	14:36:39	14:36:44
XRP_MEXC	MEXC	LONG	1.35	1.3503	TP	111.11	0	111.11	WIN	0	14:37:17	14:37:17
XRP_MEXC	MEXC	SHORT	1.3503	1.3505	HARD_SL	-74.06	100	-174.06	LOSS	0	14:37:17	14:37:39
ETH_MEXC	MEXC	LONG	2025.8000000000002	2026.2	TP	123.41	0	123.41	WIN	2	14:36:04	14:38:11
ETH_MEXC	MEXC	SHORT	2026.2	2026.4	HARD_SL	-61.69	125	-186.69	LOSS	0	14:38:11	14:38:16
ETH_HL	HL	LONG	2025.8000000000002	2026.8	TP	308.52	187.5	121.02	WIN	0	14:37:49	14:38:16
XRP_HL	HL	LONG	1.3496000000000001	1.3512	TRAIL_STOP	592.77	300	292.77	TRAIL_STOP	2	14:36:44	14:39:12
ETH_MEXC	MEXC	LONG	2026.7	2026.8000000000002	TP	30.84	0	30.84	WIN	0	14:39:23	14:39:39
ETH_MEXC	MEXC	SHORT	2026.8000000000002	2027	HARD_SL	-61.67	125	-186.67	LOSS	0	14:39:39	14:39:39
ETH_HL	HL	LONG	2027	2027.6	TP	185	187.5	-2.5	WIN	1	14:39:39	14:40:12
ETH_MEXC	MEXC	LONG	2027.2	2027.1	SOFT_STOP	-30.83	0	-30.83	SOFT_STOP	1	14:40:32	14:41:04
ETH_MEXC	MEXC	LONG	2027.1000000000001	2027.3000000000002	TP	61.66	0	61.66	WIN	0	14:42:00	14:42:05
ETH_HL	HL	LONG	2027.2	2027.4	TP	61.66	187.5	-125.84	WIN	0	14:42:00	14:42:12
XRP_HL	HL	LONG	1.3505	1.3507	TRAIL_STOP	74.05	300	-225.95	TRAIL_STOP	3	14:40:43	14:43:59
XRP_MEXC	MEXC	LONG	1.3503	1.3509	TP	222.17	0	222.17	WIN	2	14:42:05	14:44:16
ETH_MEXC	MEXC	LONG	2027	2027.3000000000002	TP	92.5	0	92.5	WIN	0	14:44:10	14:44:22
XRP_MEXC	MEXC	SHORT	1.3509	1.3511	HARD_SL	-74.02	100	-174.02	LOSS	0	14:44:16	14:44:29
XRP_HL	HL	LONG	1.3505	1.3491	SOFT_STOP	-518.33	150	-668.33	SOFT_STOP	54	14:44:49	15:38:36
ETH_HL	HL	LONG	2027	2027.8	TP	246.67	187.5	59.17	WIN	89	14:44:10	16:12:47
XRP_HL	HL	SHORT	1.3474000000000002	1.3487	SOFT_STOP	-482.41	150	-632.41	SOFT_STOP	107	15:39:39	17:26:53
