WallTime,PollStep,Label,Value,Status
2026-05-29T22:28:52.156Z,7.1,"POLL START","fetching 25 candles [MEXC]",muted
2026-05-29T22:28:52.547Z,7.2,"CANDLES","25 in window · fetched 25",ok
2026-05-29T22:28:52.547Z,7.3,"LAST CLOSE","1.3195",info
2026-05-29T22:28:52.548Z,7.9,"ZW PROGRESS","L=1.3195 [L] L=1 H=0",muted
2026-05-29T22:29:05.265Z,11.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:05.736Z,11.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:05.736Z,11.3,"LAST CLOSE","1.3196",info
2026-05-29T22:29:05.737Z,11.9,"ZW PROGRESS","L=1.3195 [LL] L=2 H=0",muted
2026-05-29T22:29:12.677Z,15.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:13.116Z,15.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:13.116Z,15.3,"LAST CLOSE","1.3195",info
2026-05-29T22:29:13.117Z,15.9,"ZW PROGRESS","L=1.3195 [LLL] L=3 H=0",muted
2026-05-29T22:29:25.743Z,19.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:26.140Z,19.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:26.140Z,19.3,"LAST CLOSE","1.3193",info
2026-05-29T22:29:26.141Z,20.RESET,"BAND RESET","price broke below zone anchor",bad
2026-05-29T22:29:26.141Z,19.9,"ZW PROGRESS","L=1.3193 [L] L=1 H=0",muted
2026-05-29T22:29:33.120Z,23.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:33.569Z,23.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:33.569Z,23.3,"LAST CLOSE","1.3192",info
2026-05-29T22:29:33.570Z,23.9,"ZW PROGRESS","L=1.3193 [LL] L=2 H=0",muted
2026-05-29T22:29:46.147Z,27.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:46.575Z,27.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:46.576Z,27.3,"LAST CLOSE","1.3193",info
2026-05-29T22:29:46.576Z,27.9,"ZW PROGRESS","L=1.3193 [LLL] L=3 H=0",muted
2026-05-29T22:29:53.610Z,31.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:54.151Z,31.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:54.152Z,31.3,"LAST CLOSE","1.3192",info
2026-05-29T22:29:54.152Z,31.9,"ZW PROGRESS","L=1.3193 [LLLL] L=4 H=0",warn
2026-05-29T22:29:59.170Z,35.1,"POLL START","fetching 4 candles [MEXC]",muted
2026-05-29T22:29:59.576Z,35.2,"CANDLES","26 in window · fetched 4",ok
2026-05-29T22:29:59.576Z,35.3,"LAST CLOSE","1.3192",info
