WallTime	PollStep	Label	Value	Status
2026-05-23T19:26:10.840Z	1.1	POLL START	fetching 25 candles	muted
2026-05-23T19:26:11.283Z	1.2	CANDLES	25 in window · fetched 25	ok
2026-05-23T19:26:11.283Z	1.3	LAST CLOSE	0.9810	info
2026-05-23T19:26:11.283Z	1.4	TICK SIZE	0.001000	info
2026-05-23T19:26:11.283Z	1.5	inOsc / dir	false / LONG	muted
2026-05-23T19:26:11.284Z	1.6	OPEN LONG	none	muted
2026-05-23T19:26:11.284Z	1.7	OPEN SHORT	none	muted
2026-05-23T19:26:11.284Z	1.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T19:26:11.284Z	1.TP1	TICK-PAIR CLOSE	0.9810 → tick 0.9810	info
2026-05-23T19:26:11.284Z	1.TP2	TICK-PAIR BUFFER	0.9810  count=1/3	warn
2026-05-23T19:26:11.284Z	1.9	TP COUNT	1/3 (P1=0.9810 P2=--)	muted
2026-05-23T19:26:11.284Z	1.10	WAITING FOR BAND	need 3x same tick · count=1	muted
2026-05-23T19:26:20.841Z	2.1	POLL START	fetching 4 candles	muted
2026-05-23T19:26:21.579Z	2.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T19:26:21.579Z	2.3	LAST CLOSE	0.9820	info
2026-05-23T19:26:21.580Z	2.4	TICK SIZE	0.001000	info
2026-05-23T19:26:21.580Z	2.5	inOsc / dir	false / LONG	muted
2026-05-23T19:26:21.581Z	2.6	OPEN LONG	none	muted
2026-05-23T19:26:21.581Z	2.7	OPEN SHORT	none	muted
2026-05-23T19:26:21.581Z	2.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:26:30.843Z	3.1	POLL START	fetching 4 candles	muted
2026-05-23T19:26:31.411Z	3.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T19:26:31.412Z	3.3	LAST CLOSE	0.9820	info
2026-05-23T19:26:31.412Z	3.4	TICK SIZE	0.001000	info
2026-05-23T19:26:31.413Z	3.5	inOsc / dir	false / LONG	muted
2026-05-23T19:26:31.413Z	3.6	OPEN LONG	none	muted
2026-05-23T19:26:31.413Z	3.7	OPEN SHORT	none	muted
2026-05-23T19:26:31.414Z	3.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:26:40.846Z	4.1	POLL START	fetching 4 candles	muted
2026-05-23T19:26:41.445Z	4.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T19:26:41.445Z	4.3	LAST CLOSE	0.9810	info
2026-05-23T19:26:41.446Z	4.4	TICK SIZE	0.001000	info
2026-05-23T19:26:41.446Z	4.5	inOsc / dir	false / LONG	muted
2026-05-23T19:26:41.446Z	4.6	OPEN LONG	none	muted
2026-05-23T19:26:41.447Z	4.7	OPEN SHORT	none	muted
2026-05-23T19:26:41.447Z	4.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:26:50.847Z	5.1	POLL START	fetching 4 candles	muted
2026-05-23T19:26:51.373Z	5.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T19:26:51.373Z	5.3	LAST CLOSE	0.9810	info
2026-05-23T19:26:51.374Z	5.4	TICK SIZE	0.001000	info
2026-05-23T19:26:51.374Z	5.5	inOsc / dir	false / LONG	muted
2026-05-23T19:26:51.375Z	5.6	OPEN LONG	none	muted
2026-05-23T19:26:51.375Z	5.7	OPEN SHORT	none	muted
2026-05-23T19:26:51.375Z	5.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:27:00.848Z	6.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:01.413Z	6.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T19:27:01.413Z	6.3	LAST CLOSE	0.9820	info
2026-05-23T19:27:01.414Z	6.4	TICK SIZE	0.001000	info
2026-05-23T19:27:01.414Z	6.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:01.414Z	6.6	OPEN LONG	none	muted
2026-05-23T19:27:01.415Z	6.7	OPEN SHORT	none	muted
2026-05-23T19:27:01.415Z	6.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:27:10.847Z	7.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:11.448Z	7.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:27:11.448Z	7.3	LAST CLOSE	0.9810	info
2026-05-23T19:27:11.449Z	7.4	TICK SIZE	0.001000	info
2026-05-23T19:27:11.449Z	7.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:11.450Z	7.6	OPEN LONG	none	muted
2026-05-23T19:27:11.450Z	7.7	OPEN SHORT	none	muted
2026-05-23T19:27:11.450Z	7.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T19:27:11.451Z	7.TP1	TICK-PAIR CLOSE	0.9810 → tick 0.9810	info
2026-05-23T19:27:11.451Z	7.TP2	TICK-PAIR BUFFER	0.9810, 0.9810  count=2/3	warn
2026-05-23T19:27:11.451Z	7.9	TP COUNT	2/3 (P1=0.9810 P2=0.9810)	muted
2026-05-23T19:27:11.452Z	7.10	WAITING FOR BAND	need 3x same tick · count=2	muted
2026-05-23T19:27:20.849Z	8.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:21.484Z	8.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:27:21.485Z	8.3	LAST CLOSE	0.9820	info
2026-05-23T19:27:21.486Z	8.4	TICK SIZE	0.001000	info
2026-05-23T19:27:21.486Z	8.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:21.486Z	8.6	OPEN LONG	none	muted
2026-05-23T19:27:21.487Z	8.7	OPEN SHORT	none	muted
2026-05-23T19:27:21.487Z	8.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:27:30.849Z	9.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:31.416Z	9.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:27:31.417Z	9.3	LAST CLOSE	0.9820	info
2026-05-23T19:27:31.417Z	9.4	TICK SIZE	0.001000	info
2026-05-23T19:27:31.417Z	9.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:31.418Z	9.6	OPEN LONG	none	muted
2026-05-23T19:27:31.418Z	9.7	OPEN SHORT	none	muted
2026-05-23T19:27:31.419Z	9.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:27:40.848Z	10.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:41.451Z	10.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:27:41.451Z	10.3	LAST CLOSE	0.9820	info
2026-05-23T19:27:41.452Z	10.4	TICK SIZE	0.001000	info
2026-05-23T19:27:41.452Z	10.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:41.453Z	10.6	OPEN LONG	none	muted
2026-05-23T19:27:41.453Z	10.7	OPEN SHORT	none	muted
2026-05-23T19:27:41.453Z	10.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:27:50.850Z	11.1	POLL START	fetching 4 candles	muted
2026-05-23T19:27:51.490Z	11.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:27:51.491Z	11.3	LAST CLOSE	0.9810	info
2026-05-23T19:27:51.491Z	11.4	TICK SIZE	0.001000	info
2026-05-23T19:27:51.491Z	11.5	inOsc / dir	false / LONG	muted
2026-05-23T19:27:51.492Z	11.6	OPEN LONG	none	muted
2026-05-23T19:27:51.492Z	11.7	OPEN SHORT	none	muted
2026-05-23T19:27:51.493Z	11.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:28:00.851Z	12.1	POLL START	fetching 4 candles	muted
2026-05-23T19:28:01.829Z	12.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T19:28:01.830Z	12.3	LAST CLOSE	0.9810	info
2026-05-23T19:28:01.830Z	12.4	TICK SIZE	0.001000	info
2026-05-23T19:28:01.831Z	12.5	inOsc / dir	false / LONG	muted
2026-05-23T19:28:01.831Z	12.6	OPEN LONG	none	muted
2026-05-23T19:28:01.831Z	12.7	OPEN SHORT	none	muted
2026-05-23T19:28:01.832Z	12.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T19:28:10.851Z	13.1	POLL START	fetching 4 candles	muted
2026-05-23T19:28:11.454Z	13.2	CANDLES	27 in window · fetched 4	ok
2026-05-23T19:28:11.455Z	13.3	LAST CLOSE	0.9810	info
2026-05-23T19:28:11.455Z	13.4	TICK SIZE	0.001000	info
2026-05-23T19:28:11.456Z	13.5	inOsc / dir	false / LONG	muted
2026-05-23T19:28:11.456Z	13.6	OPEN LONG	none	muted
2026-05-23T19:28:11.457Z	13.7	OPEN SHORT	none	muted
2026-05-23T19:28:11.457Z	13.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T19:28:11.457Z	13.TP1	TICK-PAIR CLOSE	0.9810 → tick 0.9810	info
2026-05-23T19:28:11.458Z	13.TP2	TICK-PAIR BUFFER	0.9810, 0.9810, 0.9810  count=3/3	ok
2026-05-23T19:28:11.458Z	13.TP3	BAND CONFIRMED	0.9810 – 0.9820 (3c within 1 tick)	ok
2026-05-23T19:28:11.458Z	13.9	TP COUNT	3/3 (P1=0.9810 P2=0.9810)	ok
2026-05-23T19:28:11.459Z	13.10	OSC CONFIRMED	band 0.9810 – 0.9820 #1	ok
2026-05-23T19:28:11.460Z	13.ARM	LONG ARMED	E:0.9810 TP:0.9820 SL:0.9790	ok
2026-05-23T19:28:20.852Z	14.1	POLL START	fetching 4 candles	muted
2026-05-23T19:28:21.490Z	14.2	CANDLES	27 in window · fetched 4	ok
2026-05-23T19:28:21.491Z	14.3	LAST CLOSE	0.9800	info
2026-05-23T19:28:21.491Z	14.4	TICK SIZE	0.001000	info
2026-05-23T19:28:21.492Z	14.5	inOsc / dir	true / LONG	ok
2026-05-23T19:28:21.492Z	14.6	OPEN LONG	PENDING E:0.9810	warn
2026-05-23T19:28:21.493Z	14.7	OPEN SHORT	none	muted
2026-05-23T19:28:21.493Z	14.8	CANDLE	LIVE — intra-poll checks only	muted
