WallTime	PollStep	Label	Value	Status
2026-05-23T15:29:10.334Z	2.1	POLL START	fetching 4 candles	muted
2026-05-23T15:29:10.895Z	2.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T15:29:10.896Z	2.3	LAST CLOSE	0.9520	info
2026-05-23T15:29:10.896Z	2.4	TICK SIZE	0.001000	info
2026-05-23T15:29:10.896Z	2.5	inOsc / dir	false / LONG	muted
2026-05-23T15:29:10.897Z	2.6	OPEN LONG	none	muted
2026-05-23T15:29:10.897Z	2.7	OPEN SHORT	none	muted
2026-05-23T15:29:10.897Z	2.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T15:29:10.898Z	2.TP1	TICK-PAIR CLOSE	0.9520 → tick 0.9520	info
2026-05-23T15:29:10.898Z	2.TP2	TICK-PAIR BUFFER	0.9520  count=1/3	warn
2026-05-23T15:29:10.898Z	2.9	TP COUNT	1/3 (P1=0.9520 P2=--)	muted
2026-05-23T15:29:10.899Z	2.10	WAITING FOR BAND	need 3x same tick · count=1	muted
2026-05-23T15:29:20.329Z	3.1	POLL START	fetching 4 candles	muted
2026-05-23T15:29:20.993Z	3.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T15:29:20.993Z	3.3	LAST CLOSE	0.9510	info
2026-05-23T15:29:20.994Z	3.4	TICK SIZE	0.001000	info
2026-05-23T15:29:20.994Z	3.5	inOsc / dir	false / LONG	muted
2026-05-23T15:29:20.994Z	3.6	OPEN LONG	none	muted
2026-05-23T15:29:20.995Z	3.7	OPEN SHORT	none	muted
2026-05-23T15:29:20.995Z	3.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T15:29:30.330Z	4.1	POLL START	fetching 4 candles	muted
2026-05-23T15:29:30.929Z	4.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T15:29:30.929Z	4.3	LAST CLOSE	0.9530	info
2026-05-23T15:29:30.930Z	4.4	TICK SIZE	0.001000	info
2026-05-23T15:29:30.930Z	4.5	inOsc / dir	false / LONG	muted
2026-05-23T15:29:30.931Z	4.6	OPEN LONG	none	muted
2026-05-23T15:29:30.931Z	4.7	OPEN SHORT	none	muted
2026-05-23T15:29:30.931Z	4.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T15:29:40.330Z	5.1	POLL START	fetching 4 candles	muted
2026-05-23T15:29:40.966Z	5.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T15:29:40.967Z	5.3	LAST CLOSE	0.9520	info
2026-05-23T15:29:40.967Z	5.4	TICK SIZE	0.001000	info
2026-05-23T15:29:40.968Z	5.5	inOsc / dir	false / LONG	muted
2026-05-23T15:29:40.968Z	5.6	OPEN LONG	none	muted
2026-05-23T15:29:40.968Z	5.7	OPEN SHORT	none	muted
2026-05-23T15:29:40.969Z	5.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T15:29:50.331Z	6.1	POLL START	fetching 4 candles	muted
2026-05-23T15:29:50.998Z	6.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T15:29:50.999Z	6.3	LAST CLOSE	0.9530	info
2026-05-23T15:29:50.999Z	6.4	TICK SIZE	0.001000	info
2026-05-23T15:29:51.000Z	6.5	inOsc / dir	false / LONG	muted
2026-05-23T15:29:51.001Z	6.6	OPEN LONG	none	muted
2026-05-23T15:29:51.001Z	6.7	OPEN SHORT	none	muted
2026-05-23T15:29:51.001Z	6.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T15:30:00.331Z	7.1	POLL START	fetching 4 candles	muted
