WallTime,PollStep,Label,Value,Status
2026-05-29T22:28:52.155Z,6.1,"POLL START","fetching 25 candles [HL]",muted
2026-05-29T22:28:52.666Z,6.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:05.264Z,10.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:05.743Z,10.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:12.675Z,14.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:13.123Z,14.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:25.741Z,18.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:26.134Z,18.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:33.118Z,22.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:33.573Z,22.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:46.146Z,26.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:46.577Z,26.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:53.608Z,30.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:29:54.158Z,30.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:29:59.169Z,34.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:00.022Z,34.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:06.590Z,38.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:07.030Z,38.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:10.035Z,42.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:10.469Z,42.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:12.047Z,46.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:12.479Z,46.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:15.545Z,50.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:15.961Z,50.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:17.496Z,54.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:17.923Z,54.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:20.978Z,58.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:21.391Z,58.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:22.943Z,62.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:23.338Z,62.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:26.407Z,66.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:26.818Z,66.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:28.356Z,70.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:28.763Z,70.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:31.835Z,74.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:32.245Z,74.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:33.786Z,78.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:34.196Z,78.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:37.253Z,82.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:37.685Z,82.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:39.209Z,86.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:39.616Z,86.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:42.703Z,90.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:43.064Z,90.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:44.936Z,94.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:45.653Z,94.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:48.080Z,98.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:48.402Z,98.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:50.669Z,102.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:51.084Z,102.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:53.432Z,106.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:53.856Z,106.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:56.102Z,110.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:56.524Z,110.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:30:58.870Z,114.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:30:59.298Z,114.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:01.609Z,118.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:01.939Z,118.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:04.308Z,122.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:05.006Z,122.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:06.960Z,126.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:07.270Z,126.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:10.327Z,130.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:10.649Z,130.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:12.290Z,134.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:12.690Z,134.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:15.676Z,138.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:15.980Z,138.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:17.704Z,142.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:18.118Z,142.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:21.060Z,146.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:21.392Z,146.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:23.136Z,150.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:23.570Z,150.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:26.409Z,154.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:26.819Z,154.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:28.591Z,158.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:28.903Z,158.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:31.843Z,162.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:32.259Z,162.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:33.944Z,166.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:34.408Z,166.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:37.277Z,170.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:37.678Z,170.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:39.429Z,174.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:39.838Z,174.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:42.698Z,178.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:43.003Z,178.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:44.851Z,182.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:45.597Z,182.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:48.027Z,186.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:48.337Z,186.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:50.618Z,190.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:50.991Z,190.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:53.367Z,194.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:53.773Z,194.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
2026-05-29T22:31:56.011Z,198.1,"POLL START","fetching 4 candles [HL]",muted
2026-05-29T22:31:56.417Z,198.1,"BLACKOUT SKIP","no detection — outside session window [EDT 08:00–15:00]",muted
