WallTime	PollStep	Label	Value	Status
2026-05-26T18:59:30.495Z	1.1	POLL START	fetching 25 candles	muted
2026-05-26T18:59:31.412Z	1.2	CANDLES	25 in window · fetched 25	ok
2026-05-26T18:59:31.413Z	1.3	LAST CLOSE	1.0060	info
2026-05-26T18:59:31.413Z	1.4	TICK SIZE	0.001000	info
2026-05-26T18:59:31.413Z	1.5	inOsc / dir	false / LONG	muted
2026-05-26T18:59:31.413Z	1.6	OPEN LONG	none	muted
2026-05-26T18:59:31.414Z	1.7	OPEN SHORT	none	muted
2026-05-26T18:59:31.414Z	1.8	CANDLE	NEW — processing tick-pair	ok
2026-05-26T18:59:31.414Z	4.ZW1	ZONE SAMPLE	1.0060 → 1.0060	info
2026-05-26T18:59:31.415Z	4.ZW2	ZW ANCHOR-L	1.0060 — waiting for upper anchor	muted
2026-05-26T18:59:31.415Z	1.9	ZW PROGRESS	L=1.0060 · empty	muted
2026-05-26T18:59:31.415Z	1.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=0	muted
2026-05-26T18:59:51.897Z	5.1	POLL START	fetching 4 candles	muted
2026-05-26T18:59:53.193Z	5.2	CANDLES	25 in window · fetched 4	ok
2026-05-26T18:59:53.193Z	5.3	LAST CLOSE	1.0060	info
2026-05-26T18:59:53.193Z	5.4	TICK SIZE	0.001000	info
2026-05-26T18:59:53.194Z	5.5	inOsc / dir	false / LONG	muted
2026-05-26T18:59:53.194Z	5.6	OPEN LONG	none	muted
2026-05-26T18:59:53.194Z	5.7	OPEN SHORT	none	muted
2026-05-26T18:59:53.194Z	5.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
2026-05-26T18:59:53.195Z	8.ZW1	ZONE SAMPLE	1.0060 → 1.0060	info
2026-05-26T18:59:53.195Z	8.ZW2	ZW ANCHOR-L	1.0060 (re-anchor) — waiting for upper anchor	muted
2026-05-26T18:59:53.195Z	5.9	ZW PROGRESS	L=1.0060 · empty	muted
2026-05-26T18:59:53.195Z	5.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=0	muted
2026-05-26T19:00:13.202Z	9.1	POLL START	fetching 4 candles	muted
2026-05-26T19:00:14.195Z	9.2	CANDLES	25 in window · fetched 3	ok
2026-05-26T19:00:14.195Z	9.3	LAST CLOSE	1.0070	info
2026-05-26T19:00:14.196Z	9.4	TICK SIZE	0.001000	info
2026-05-26T19:00:14.196Z	9.5	inOsc / dir	false / LONG	muted
2026-05-26T19:00:14.196Z	9.6	OPEN LONG	none	muted
2026-05-26T19:00:14.197Z	9.7	OPEN SHORT	none	muted
2026-05-26T19:00:14.197Z	9.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
2026-05-26T19:00:14.197Z	12.ZW1	ZONE SAMPLE	1.0070 → 1.0070	info
2026-05-26T19:00:14.198Z	12.ZW2	ZW ANCHORS SET	L=1.0060 H=1.0070 · buf=[L,H] L=1 H=1	warn
2026-05-26T19:00:14.198Z	9.9	ZW PROGRESS	L=1.0060 H=1.0070 · [LH] L=1 H=1/4	muted
2026-05-26T19:00:14.198Z	9.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=2	muted
2026-05-26T19:00:35.323Z	13.1	POLL START	fetching 4 candles	muted
2026-05-26T19:00:36.360Z	13.2	CANDLES	26 in window · fetched 4	ok
2026-05-26T19:00:36.360Z	13.3	LAST CLOSE	1.0070	info
2026-05-26T19:00:36.361Z	13.4	TICK SIZE	0.001000	info
2026-05-26T19:00:36.361Z	13.5	inOsc / dir	false / LONG	muted
2026-05-26T19:00:36.361Z	13.6	OPEN LONG	none	muted
2026-05-26T19:00:36.361Z	13.7	OPEN SHORT	none	muted
2026-05-26T19:00:36.361Z	13.8	CANDLE	NEW — processing tick-pair	ok
2026-05-26T19:00:36.362Z	16.ZW1	ZONE SAMPLE	1.0070 → 1.0070	info
2026-05-26T19:00:36.362Z	16.ZW3	ZW BUFFER	[LHH] L=1 H=2 (3/4)	warn
2026-05-26T19:00:36.362Z	13.9	ZW PROGRESS	L=1.0060 H=1.0070 · [LHH] L=1 H=2/4	muted
2026-05-26T19:00:36.362Z	13.10	WAITING FOR BAND	K-of-N zone-window · N=4 K=4 · buf=3	muted
2026-05-26T19:00:56.378Z	17.1	POLL START	fetching 4 candles	muted
2026-05-26T19:00:57.225Z	17.2	CANDLES	26 in window · fetched 4	ok
2026-05-26T19:00:57.225Z	17.3	LAST CLOSE	1.0070	info
2026-05-26T19:00:57.225Z	17.4	TICK SIZE	0.001000	info
2026-05-26T19:00:57.225Z	17.5	inOsc / dir	false / LONG	muted
2026-05-26T19:00:57.226Z	17.6	OPEN LONG	none	muted
2026-05-26T19:00:57.226Z	17.7	OPEN SHORT	none	muted
2026-05-26T19:00:57.226Z	17.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
2026-05-26T19:00:57.226Z	20.ZW1	ZONE SAMPLE	1.0070 → 1.0070	info
2026-05-26T19:00:57.227Z	20.ZW3	ZW BUFFER	[LHHH] L=1 H=3 (4/4)	ok
2026-05-26T19:00:57.227Z	20.ZW4	BAND CONFIRMED	K-of-N · L=1.0060 H=1.0070 · buf=[LHHH] L=1 H=3 inZone=4/4	ok
2026-05-26T19:00:57.227Z	17.9	ZW PROGRESS	L=1.0060 H=1.0070 · [LHHH] L=1 H=3/4	warn
2026-05-26T19:00:57.227Z	17.10	BAND CONFIRMED	zone 1.0060 – 1.0070 #1	ok
2026-05-26T19:00:57.228Z	20.ARM	LONG ARMED	E:1.0060 TP:1.0070 SL:1.0040	ok
2026-05-26T19:01:02.239Z	21.1	POLL START	fetching 4 candles	muted
2026-05-26T19:01:02.988Z	21.2	CANDLES	26 in window · fetched 3	ok
2026-05-26T19:01:02.988Z	21.3	LAST CLOSE	1.0070	info
2026-05-26T19:01:02.989Z	21.4	TICK SIZE	0.001000	info
2026-05-26T19:01:02.989Z	21.5	inOsc / dir	true / LONG	ok
2026-05-26T19:01:02.989Z	21.6	OPEN LONG	PENDING E:1.0060	warn
2026-05-26T19:01:02.989Z	21.7	OPEN SHORT	none	muted
2026-05-26T19:01:02.990Z	21.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
2026-05-26T19:01:02.990Z	21.10	ACTIVE DIR	LONG	ok
2026-05-26T19:01:02.990Z	21.11	LONG FILL CHECK	fillLow=1.0060 vs E=1.0060	ok
2026-05-26T19:01:02.991Z	21.12	LONG FILLED	confirmed @ 1.0060	ok
2026-05-26T19:01:02.991Z	21.13	LONG IN TRADE	TP>E=1.0060 · SL=1.0040 (E-2t)	ok
2026-05-26T19:01:02.991Z	21.13u	UNREALIZED PNL	+$49.70 @ 1.0070	ok
2026-05-26T19:01:02.992Z	21.14	LONG TP HIT	1.0070 > E=1.0060 → WIN (unrPnl > 0)	ok
2026-05-26T19:01:02.993Z	21.14b	CYCLE TP COUNT	1	ok
2026-05-26T19:01:02.993Z	24.ARM	SHORT ARMED	E:1.0070 TP:1.0060 SL:1.0090	purple
2026-05-26T19:01:08.003Z	25.1	POLL START	fetching 4 candles	muted
2026-05-26T19:01:09.840Z	25.2	CANDLES	27 in window · fetched 4	ok
2026-05-26T19:01:09.840Z	25.3	LAST CLOSE	1.0060	info
2026-05-26T19:01:09.841Z	25.4	TICK SIZE	0.001000	info
2026-05-26T19:01:09.841Z	25.5	inOsc / dir	true / SHORT	ok
2026-05-26T19:01:09.841Z	25.6	OPEN LONG	none	muted
2026-05-26T19:01:09.842Z	25.7	OPEN SHORT	PENDING E:1.0070	warn
2026-05-26T19:01:09.842Z	25.8	CANDLE	NEW — processing tick-pair	ok
2026-05-26T19:01:09.842Z	25.10	ACTIVE DIR	SHORT	purple
2026-05-26T19:01:09.843Z	25.11	SHORT FILL CHECK	fillHigh=1.0070 vs E=1.0070	purple
2026-05-26T19:01:09.843Z	25.12	SHORT FILLED	confirmed @ 1.0070	purple
2026-05-26T19:01:09.843Z	25.13	SHORT IN TRADE	TP<E=1.0070 · SL=1.0090 (E+2t)	purple
2026-05-26T19:01:09.844Z	25.13u	UNREALIZED PNL	+$49.65 @ 1.0060	ok
2026-05-26T19:01:09.844Z	25.14	SHORT TP HIT	1.0060 < E=1.0070 → WIN (unrPnl > 0)	ok
2026-05-26T19:01:09.844Z	25.14b	CYCLE TP COUNT	2	ok
2026-05-26T19:01:09.845Z	28.ARM	LONG ARMED	E:1.0060 TP:1.0070 SL:1.0040	ok
2026-05-26T19:01:14.856Z	29.1	POLL START	fetching 4 candles	muted
2026-05-26T19:01:15.660Z	29.2	CANDLES	27 in window · fetched 4	ok
2026-05-26T19:01:15.661Z	29.3	LAST CLOSE	1.0070	info
2026-05-26T19:01:15.661Z	29.4	TICK SIZE	0.001000	info
2026-05-26T19:01:15.662Z	29.5	inOsc / dir	true / LONG	ok
2026-05-26T19:01:15.662Z	29.6	OPEN LONG	PENDING E:1.0060	warn
2026-05-26T19:01:15.663Z	29.7	OPEN SHORT	none	muted
2026-05-26T19:01:15.663Z	29.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
2026-05-26T19:01:15.663Z	29.10	ACTIVE DIR	LONG	ok
2026-05-26T19:01:15.664Z	29.11	LONG FILL CHECK	fillLow=1.0060 vs E=1.0060	ok
2026-05-26T19:01:15.665Z	29.12	LONG FILLED	confirmed @ 1.0060	ok
2026-05-26T19:01:15.665Z	29.13	LONG IN TRADE	TP>E=1.0060 · SL=1.0040 (E-2t)	ok
2026-05-26T19:01:15.665Z	29.13u	UNREALIZED PNL	+$49.70 @ 1.0070	ok
2026-05-26T19:01:15.666Z	29.14	LONG TP HIT	1.0070 > E=1.0060 → WIN (unrPnl > 0)	ok
2026-05-26T19:01:15.666Z	29.14b	CYCLE TP COUNT	3	ok
2026-05-26T19:01:15.667Z	32.ARM	SHORT ARMED	E:1.0070 TP:1.0060 SL:1.0090	purple
2026-05-26T19:01:20.688Z	33.1	POLL START	fetching 4 candles	muted
2026-05-26T19:01:21.581Z	33.2	CANDLES	27 in window · fetched 4	ok
2026-05-26T19:01:21.582Z	33.3	LAST CLOSE	1.0070	info
2026-05-26T19:01:21.582Z	33.4	TICK SIZE	0.001000	info
2026-05-26T19:01:21.583Z	33.5	inOsc / dir	true / SHORT	ok
2026-05-26T19:01:21.583Z	33.6	OPEN LONG	none	muted
2026-05-26T19:01:21.583Z	33.7	OPEN SHORT	PENDING E:1.0070	warn
2026-05-26T19:01:21.584Z	33.8	CANDLE	LIVE — 20s sample · detection + trade checks	muted
