WallTime	PollStep	Label	Value	Status
2026-05-23T18:48:27.817Z	2.1	POLL START	fetching 4 candles	muted
2026-05-23T18:48:28.425Z	2.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T18:48:28.425Z	2.3	LAST CLOSE	0.9810	info
2026-05-23T18:48:28.426Z	2.4	TICK SIZE	0.001000	info
2026-05-23T18:48:28.426Z	2.5	inOsc / dir	false / LONG	muted
2026-05-23T18:48:28.427Z	2.6	OPEN LONG	none	muted
2026-05-23T18:48:28.427Z	2.7	OPEN SHORT	none	muted
2026-05-23T18:48:28.427Z	2.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T18:48:37.815Z	3.1	POLL START	fetching 4 candles	muted
2026-05-23T18:48:38.461Z	3.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T18:48:38.461Z	3.3	LAST CLOSE	0.9820	info
2026-05-23T18:48:38.461Z	3.4	TICK SIZE	0.001000	info
2026-05-23T18:48:38.462Z	3.5	inOsc / dir	false / LONG	muted
2026-05-23T18:48:38.462Z	3.6	OPEN LONG	none	muted
2026-05-23T18:48:38.462Z	3.7	OPEN SHORT	none	muted
2026-05-23T18:48:38.463Z	3.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T18:48:47.816Z	4.1	POLL START	fetching 4 candles	muted
2026-05-23T18:48:48.397Z	4.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T18:48:48.398Z	4.3	LAST CLOSE	0.9830	info
2026-05-23T18:48:48.398Z	4.4	TICK SIZE	0.001000	info
2026-05-23T18:48:48.398Z	4.5	inOsc / dir	false / LONG	muted
2026-05-23T18:48:48.399Z	4.6	OPEN LONG	none	muted
2026-05-23T18:48:48.399Z	4.7	OPEN SHORT	none	muted
2026-05-23T18:48:48.400Z	4.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T18:48:57.817Z	5.1	POLL START	fetching 4 candles	muted
2026-05-23T18:48:58.530Z	5.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T18:48:58.531Z	5.3	LAST CLOSE	0.9830	info
2026-05-23T18:48:58.531Z	5.4	TICK SIZE	0.001000	info
2026-05-23T18:48:58.532Z	5.5	inOsc / dir	false / LONG	muted
2026-05-23T18:48:58.532Z	5.6	OPEN LONG	none	muted
2026-05-23T18:48:58.532Z	5.7	OPEN SHORT	none	muted
2026-05-23T18:48:58.533Z	5.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T18:49:07.818Z	6.1	POLL START	fetching 4 candles	muted
2026-05-23T18:49:08.470Z	6.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T18:49:08.471Z	6.3	LAST CLOSE	0.9810	info
2026-05-23T18:49:08.471Z	6.4	TICK SIZE	0.001000	info
2026-05-23T18:49:08.472Z	6.5	inOsc / dir	false / LONG	muted
2026-05-23T18:49:08.472Z	6.6	OPEN LONG	none	muted
2026-05-23T18:49:08.472Z	6.7	OPEN SHORT	none	muted
2026-05-23T18:49:08.473Z	6.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T18:49:08.473Z	6.TP1	TICK-PAIR CLOSE	0.9810 → tick 0.9810	info
2026-05-23T18:49:08.474Z	6.TP2	TICK-PAIR BUFFER	0.9810  count=1/3	warn
2026-05-23T18:49:08.474Z	6.9	TP COUNT	1/3 (P1=0.9810 P2=--)	muted
2026-05-23T18:49:08.474Z	6.10	WAITING FOR BAND	need 3x same tick · count=1	muted
2026-05-23T18:49:17.818Z	7.1	POLL START	fetching 4 candles	muted
