WallTime	PollStep	Label	Value	Status
2026-05-23T20:22:32.611Z	2.1	POLL START	fetching 4 candles	muted
2026-05-23T20:22:33.140Z	2.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T20:22:33.141Z	2.3	LAST CLOSE	0.9780	info
2026-05-23T20:22:33.141Z	2.4	TICK SIZE	0.001000	info
2026-05-23T20:22:33.142Z	2.5	inOsc / dir	false / LONG	muted
2026-05-23T20:22:33.142Z	2.6	OPEN LONG	none	muted
2026-05-23T20:22:33.142Z	2.7	OPEN SHORT	none	muted
2026-05-23T20:22:33.142Z	2.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T21:13:37.384Z	3.1	POLL START	fetching 4 candles	muted
2026-05-23T21:13:38.203Z	3.2	CANDLES	29 in window · fetched 4	ok
2026-05-23T21:13:38.203Z	3.3	LAST CLOSE	0.9990	info
2026-05-23T21:13:38.203Z	3.4	TICK SIZE	0.001000	info
2026-05-23T21:13:38.203Z	3.5	inOsc / dir	false / LONG	muted
2026-05-23T21:13:38.203Z	3.6	OPEN LONG	none	muted
2026-05-23T21:13:38.203Z	3.7	OPEN SHORT	none	muted
2026-05-23T21:13:38.203Z	3.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T21:13:38.203Z	3.TP1	TICK-PAIR CLOSE	0.9990 → tick 0.9990	info
2026-05-23T21:13:38.204Z	3.TP2	TICK-PAIR BUFFER	0.9990  count=1/3	warn
2026-05-23T21:13:38.204Z	3.9	TP COUNT	1/3 (P1=0.9990 P2=--)	muted
2026-05-23T21:13:38.204Z	3.10	WAITING FOR BAND	need 3x same tick · count=1	muted
2026-05-23T21:13:50.976Z	1.1	POLL START	fetching 25 candles	muted
2026-05-23T21:13:51.406Z	1.2	CANDLES	25 in window · fetched 25	ok
2026-05-23T21:13:51.407Z	1.3	LAST CLOSE	0.9990	info
2026-05-23T21:13:51.407Z	1.4	TICK SIZE	0.001000	info
2026-05-23T21:13:51.407Z	1.5	inOsc / dir	false / LONG	muted
