WallTime	PollStep	Label	Value	Status
2026-05-23T20:08:47.175Z	3.1	POLL START	fetching 4 candles	muted
2026-05-23T20:08:47.770Z	3.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T20:08:47.770Z	3.3	LAST CLOSE	0.9770	info
2026-05-23T20:08:47.771Z	3.4	TICK SIZE	0.001000	info
2026-05-23T20:08:47.771Z	3.5	inOsc / dir	false / LONG	muted
2026-05-23T20:08:47.771Z	3.6	OPEN LONG	none	muted
2026-05-23T20:08:47.772Z	3.7	OPEN SHORT	none	muted
2026-05-23T20:08:47.772Z	3.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:08:57.179Z	4.1	POLL START	fetching 4 candles	muted
2026-05-23T20:08:57.820Z	4.2	CANDLES	25 in window · fetched 4	ok
2026-05-23T20:08:57.820Z	4.3	LAST CLOSE	0.9770	info
2026-05-23T20:08:57.820Z	4.4	TICK SIZE	0.001000	info
2026-05-23T20:08:57.821Z	4.5	inOsc / dir	false / LONG	muted
2026-05-23T20:08:57.821Z	4.6	OPEN LONG	none	muted
2026-05-23T20:08:57.821Z	4.7	OPEN SHORT	none	muted
2026-05-23T20:08:57.822Z	4.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:09:07.179Z	5.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:07.715Z	5.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:07.715Z	5.3	LAST CLOSE	0.9770	info
2026-05-23T20:09:07.716Z	5.4	TICK SIZE	0.001000	info
2026-05-23T20:09:07.716Z	5.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:07.716Z	5.6	OPEN LONG	none	muted
2026-05-23T20:09:07.717Z	5.7	OPEN SHORT	none	muted
2026-05-23T20:09:07.717Z	5.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T20:09:07.718Z	5.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-23T20:09:07.718Z	5.TP2	TICK-PAIR BUFFER	0.9770  count=1/3	warn
2026-05-23T20:09:07.718Z	5.9	TP COUNT	1/3 (P1=0.9770 P2=--)	muted
2026-05-23T20:09:07.719Z	5.10	WAITING FOR BAND	need 3x same tick · count=1	muted
2026-05-23T20:09:17.179Z	6.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:17.778Z	6.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:17.779Z	6.3	LAST CLOSE	0.9760	info
2026-05-23T20:09:17.779Z	6.4	TICK SIZE	0.001000	info
2026-05-23T20:09:17.780Z	6.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:17.780Z	6.6	OPEN LONG	none	muted
2026-05-23T20:09:17.780Z	6.7	OPEN SHORT	none	muted
2026-05-23T20:09:17.781Z	6.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:09:27.179Z	7.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:27.809Z	7.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:27.810Z	7.3	LAST CLOSE	0.9770	info
2026-05-23T20:09:27.810Z	7.4	TICK SIZE	0.001000	info
2026-05-23T20:09:27.810Z	7.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:27.811Z	7.6	OPEN LONG	none	muted
2026-05-23T20:09:27.811Z	7.7	OPEN SHORT	none	muted
2026-05-23T20:09:27.811Z	7.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:09:37.180Z	8.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:37.744Z	8.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:37.745Z	8.3	LAST CLOSE	0.9770	info
2026-05-23T20:09:37.745Z	8.4	TICK SIZE	0.001000	info
2026-05-23T20:09:37.746Z	8.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:37.746Z	8.6	OPEN LONG	none	muted
2026-05-23T20:09:37.747Z	8.7	OPEN SHORT	none	muted
2026-05-23T20:09:37.747Z	8.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:09:47.181Z	9.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:47.778Z	9.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:47.779Z	9.3	LAST CLOSE	0.9760	info
2026-05-23T20:09:47.779Z	9.4	TICK SIZE	0.001000	info
2026-05-23T20:09:47.779Z	9.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:47.779Z	9.6	OPEN LONG	none	muted
2026-05-23T20:09:47.780Z	9.7	OPEN SHORT	none	muted
2026-05-23T20:09:47.780Z	9.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:09:57.181Z	10.1	POLL START	fetching 4 candles	muted
2026-05-23T20:09:57.813Z	10.2	CANDLES	26 in window · fetched 4	ok
2026-05-23T20:09:57.813Z	10.3	LAST CLOSE	0.9770	info
2026-05-23T20:09:57.814Z	10.4	TICK SIZE	0.001000	info
2026-05-23T20:09:57.814Z	10.5	inOsc / dir	false / LONG	muted
2026-05-23T20:09:57.814Z	10.6	OPEN LONG	none	muted
2026-05-23T20:09:57.815Z	10.7	OPEN SHORT	none	muted
2026-05-23T20:09:57.815Z	10.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-23T20:10:07.181Z	11.1	POLL START	fetching 4 candles	muted
2026-05-23T20:10:09.180Z	11.2	CANDLES	27 in window · fetched 4	ok
2026-05-23T20:10:09.181Z	11.3	LAST CLOSE	0.9780	info
2026-05-23T20:10:09.181Z	11.4	TICK SIZE	0.001000	info
2026-05-23T20:10:09.181Z	11.5	inOsc / dir	false / LONG	muted
2026-05-23T20:10:09.182Z	11.6	OPEN LONG	none	muted
2026-05-23T20:10:09.182Z	11.7	OPEN SHORT	none	muted
2026-05-23T20:10:09.183Z	11.8	CANDLE	NEW — processing tick-pair	ok
2026-05-23T20:10:09.183Z	11.TP1	TICK-PAIR CLOSE	0.9780 → tick 0.9780	info
2026-05-23T20:10:09.184Z	11.TP2	TICK-PAIR BUFFER	0.9770, 0.9780  count=2/3	warn
2026-05-23T20:10:09.184Z	11.9	TP COUNT	2/3 (P1=0.9770 P2=0.9780)	muted
2026-05-23T20:10:09.184Z	11.10	WAITING FOR BAND	need 3x same tick · count=2	muted
2026-05-23T20:10:17.182Z	12.1	POLL START	fetching 4 candles	muted
2026-05-23T20:10:17.780Z	12.2	CANDLES	27 in window · fetched 4	ok
2026-05-23T20:10:17.781Z	12.3	LAST CLOSE	0.9770	info
2026-05-23T20:10:17.781Z	12.4	TICK SIZE	0.001000	info
2026-05-23T20:10:17.782Z	12.5	inOsc / dir	false / LONG	muted
2026-05-23T20:10:17.782Z	12.6	OPEN LONG	none	muted
2026-05-23T20:10:17.783Z	12.7	OPEN SHORT	none	muted
2026-05-23T20:10:17.783Z	12.8	CANDLE	LIVE — intra-poll checks only	muted
