WallTime,PollStep,Label,Value,Status
2026-05-24T03:01:22.139Z,1.1,"POLL START","fetching 25 candles",muted
2026-05-24T03:01:22.569Z,1.2,"CANDLES","25 in window · fetched 25",ok
2026-05-24T03:01:22.569Z,1.3,"LAST CLOSE","0.9760",info
2026-05-24T03:01:22.570Z,1.4,"TICK SIZE","0.001000",info
2026-05-24T03:01:22.570Z,1.5,"inOsc / dir","false / LONG",muted
2026-05-24T03:01:22.570Z,1.6,"OPEN LONG","none",muted
2026-05-24T03:01:22.570Z,1.7,"OPEN SHORT","none",muted
2026-05-24T03:01:22.570Z,1.8,"CANDLE","NEW — processing tick-pair",ok
2026-05-24T03:01:22.570Z,1.TP1,"TICK-PAIR CLOSE","0.9760 → tick 0.9760",info
2026-05-24T03:01:22.570Z,1.TP2,"OSC 1/6","P1a=0.9760 — waiting for P1b",muted
2026-05-24T03:01:22.570Z,1.9,"OSC COUNTER","0/3 · step=2/6 P1a=0.9760",muted
2026-05-24T03:01:22.570Z,1.10,"WAITING FOR BAND","A-B-A-B-A-B · step 2/6 · counter=0/3",muted
2026-05-24T03:01:22.571Z,1.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T03:01:42.574Z,2.1,"POLL START","fetching 4 candles",muted
2026-05-24T03:01:43.179Z,2.2,"CANDLES","25 in window · fetched 4",ok
2026-05-24T03:01:43.179Z,2.3,"LAST CLOSE","0.9750",info
2026-05-24T03:01:43.179Z,2.4,"TICK SIZE","0.001000",info
2026-05-24T03:01:43.180Z,2.5,"inOsc / dir","false / LONG",muted
2026-05-24T03:01:43.180Z,2.6,"OPEN LONG","none",muted
2026-05-24T03:01:43.180Z,2.7,"OPEN SHORT","none",muted
2026-05-24T03:01:43.180Z,2.8,"CANDLE","LIVE — intra-poll checks only",muted
2026-05-24T03:01:43.181Z,2.TP1,"TICK-PAIR CLOSE","0.9750 → tick 0.9750",info
2026-05-24T03:01:43.181Z,2.TP2,"OSC 2/6","P1a=0.9760 P1b=0.9750 counter=1 — need c3=P1a",warn
2026-05-24T03:01:43.181Z,2.9,"OSC COUNTER","1/3 · step=3/6 P1a=0.9760 P1b=0.9750",muted
2026-05-24T03:01:43.181Z,2.10,"WAITING FOR BAND","A-B-A-B-A-B · step 3/6 · counter=1/3",muted
2026-05-24T03:01:43.183Z,2.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T03:02:03.186Z,3.1,"POLL START","fetching 4 candles",muted
2026-05-24T03:02:03.693Z,3.2,"CANDLES","26 in window · fetched 4",ok
2026-05-24T03:02:03.694Z,3.3,"LAST CLOSE","0.9750",info
2026-05-24T03:02:03.694Z,3.4,"TICK SIZE","0.001000",info
2026-05-24T03:02:03.695Z,3.5,"inOsc / dir","false / LONG",muted
2026-05-24T03:02:03.695Z,3.6,"OPEN LONG","none",muted
2026-05-24T03:02:03.696Z,3.7,"OPEN SHORT","none",muted
2026-05-24T03:02:03.696Z,3.8,"CANDLE","NEW — processing tick-pair",ok
2026-05-24T03:02:03.696Z,3.TP1,"TICK-PAIR CLOSE","0.9750 → tick 0.9750",info
2026-05-24T03:02:03.697Z,3.TP2,"OSC RESET","c3 0.9750 ≠ P1a 0.9760 → restart",muted
2026-05-24T03:02:03.697Z,3.9,"OSC COUNTER","0/3 · step=1/6",muted
2026-05-24T03:02:03.697Z,3.10,"WAITING FOR BAND","A-B-A-B-A-B · step 1/6 · counter=0/3",muted
2026-05-24T03:02:03.699Z,3.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T03:02:23.702Z,4.1,"POLL START","fetching 4 candles",muted
2026-05-24T03:02:24.187Z,4.2,"CANDLES","26 in window · fetched 4",ok
2026-05-24T03:02:24.188Z,4.3,"LAST CLOSE","0.9760",info
2026-05-24T03:02:24.188Z,4.4,"TICK SIZE","0.001000",info
2026-05-24T03:02:24.189Z,4.5,"inOsc / dir","false / LONG",muted
2026-05-24T03:02:24.189Z,4.6,"OPEN LONG","none",muted
2026-05-24T03:02:24.189Z,4.7,"OPEN SHORT","none",muted
2026-05-24T03:02:24.190Z,4.8,"CANDLE","LIVE — intra-poll checks only",muted
2026-05-24T03:02:24.190Z,4.TP1,"TICK-PAIR CLOSE","0.9760 → tick 0.9760",info
2026-05-24T03:02:24.190Z,4.TP2,"OSC 1/6","P1a=0.9760 — waiting for P1b",muted
2026-05-24T03:02:24.191Z,4.9,"OSC COUNTER","0/3 · step=2/6 P1a=0.9760",muted
2026-05-24T03:02:24.191Z,4.10,"WAITING FOR BAND","A-B-A-B-A-B · step 2/6 · counter=0/3",muted
2026-05-24T03:02:24.193Z,4.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T03:02:44.195Z,5.1,"POLL START","fetching 4 candles",muted
2026-05-24T03:02:44.771Z,5.2,"CANDLES","26 in window · fetched 4",ok
2026-05-24T03:02:44.772Z,5.3,"LAST CLOSE","0.9750",info
2026-05-24T03:02:44.772Z,5.4,"TICK SIZE","0.001000",info
2026-05-24T03:02:44.772Z,5.5,"inOsc / dir","false / LONG",muted
2026-05-24T03:02:44.773Z,5.6,"OPEN LONG","none",muted
2026-05-24T03:02:44.773Z,5.7,"OPEN SHORT","none",muted
2026-05-24T03:02:44.773Z,5.8,"CANDLE","LIVE — intra-poll checks only",muted
2026-05-24T03:02:44.774Z,5.TP1,"TICK-PAIR CLOSE","0.9750 → tick 0.9750",info
2026-05-24T03:02:44.774Z,5.TP2,"OSC 2/6","P1a=0.9760 P1b=0.9750 counter=1 — need c3=P1a",warn
2026-05-24T03:02:44.774Z,5.9,"OSC COUNTER","1/3 · step=3/6 P1a=0.9760 P1b=0.9750",muted
2026-05-24T03:02:44.775Z,5.10,"WAITING FOR BAND","A-B-A-B-A-B · step 3/6 · counter=1/3",muted
2026-05-24T03:02:44.777Z,5.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T04:28:48.092Z,6.1,"POLL START","fetching 4 candles",muted
2026-05-24T04:28:48.899Z,6.2,"CANDLES","30 in window · fetched 4",ok
2026-05-24T04:28:48.899Z,6.3,"LAST CLOSE","0.9710",info
2026-05-24T04:28:48.899Z,6.4,"TICK SIZE","0.001000",info
2026-05-24T04:28:48.899Z,6.5,"inOsc / dir","false / LONG",muted
2026-05-24T04:28:48.899Z,6.6,"OPEN LONG","none",muted
2026-05-24T04:28:48.899Z,6.7,"OPEN SHORT","none",muted
2026-05-24T04:28:48.900Z,6.8,"CANDLE","NEW — processing tick-pair",ok
2026-05-24T04:28:48.900Z,6.TP1,"TICK-PAIR CLOSE","0.9710 → tick 0.9710",info
2026-05-24T04:28:48.900Z,6.TP2,"OSC RESET","c3 0.9710 ≠ P1a 0.9760 → restart",muted
2026-05-24T04:28:48.900Z,6.9,"OSC COUNTER","0/3 · step=1/6",muted
2026-05-24T04:28:48.900Z,6.10,"WAITING FOR BAND","A-B-A-B-A-B · step 1/6 · counter=0/3",muted
2026-05-24T04:28:48.904Z,6.ADJ,"NEXT POLL","20s · mode=DETECT",muted
2026-05-24T04:29:08.908Z,7.1,"POLL START","fetching 4 candles",muted
2026-05-24T04:29:09.451Z,7.2,"CANDLES","30 in window · fetched 4",ok
