	734.6	OPEN LONG	none	muted
2026-05-24T08:34:35.899Z	758.6	OPEN LONG	none	muted
2026-05-24T08:34:35.900Z	758.7	OPEN SHORT	none	muted
2026-05-24T08:34:35.900Z	758.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:34:35.901Z	758.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:34:35.901Z	758.TP2	OSC 2/6	P1a=0.9750 P1b=0.9760 counter=1 — need c3=P1a	warn
2026-05-24T08:34:35.902Z	758.9	OSC COUNTER	1/3 · step=3/6 P1a=0.9750 P1b=0.9760	muted
2026-05-24T08:34:35.902Z	758.10	WAITING FOR BAND	A-B-A-B-A-B · step 3/6 · counter=1/3	muted
2026-05-24T08:34:35.904Z	758.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:34:55.908Z	759.1	POLL START	fetching 4 candles	muted
2026-05-24T08:34:56.475Z	759.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:34:56.476Z	759.3	LAST CLOSE	0.9770	info
2026-05-24T08:34:56.477Z	759.4	TICK SIZE	0.001000	info
2026-05-24T08:34:56.478Z	759.5	inOsc / dir	false / LONG	muted
2026-05-24T08:34:56.478Z	759.6	OPEN LONG	none	muted
2026-05-24T08:34:56.478Z	759.7	OPEN SHORT	none	muted
2026-05-24T08:34:56.479Z	759.8	CANDLE	LIVE — intra-poll checks only	muted
2026-05-24T08:34:56.479Z	759.TP1	TICK-PAIR CLOSE	0.9770 → tick 0.9770	info
2026-05-24T08:34:56.480Z	759.TP2	OSC RESET	c3 0.9770 ≠ P1a 0.9750 → restart	muted
2026-05-24T08:34:56.480Z	759.9	OSC COUNTER	0/3 · step=1/6	muted
2026-05-24T08:34:56.481Z	759.10	WAITING FOR BAND	A-B-A-B-A-B · step 1/6 · counter=0/3	muted
2026-05-24T08:34:56.483Z	759.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:35:16.487Z	760.1	POLL START	fetching 4 candles	muted
2026-05-24T08:35:17.518Z	760.2	CANDLES	30 in window · fetched 4	ok
2026-05-24T08:35:17.520Z	760.3	LAST CLOSE	0.9760	info
2026-05-24T08:35:17.520Z	760.4	TICK SIZE	0.001000	info
2026-05-24T08:35:17.521Z	760.5	inOsc / dir	false / LONG	muted
2026-05-24T08:35:17.522Z	760.6	OPEN LONG	none	muted
2026-05-24T08:35:17.522Z	760.7	OPEN SHORT	none	muted
2026-05-24T08:35:17.523Z	760.8	CANDLE	NEW — processing tick-pair	ok
2026-05-24T08:35:17.523Z	760.TP1	TICK-PAIR CLOSE	0.9760 → tick 0.9760	info
2026-05-24T08:35:17.524Z	760.TP2	OSC 1/6	P1a=0.9760 — waiting for P1b	muted
2026-05-24T08:35:17.524Z	760.9	OSC COUNTER	0/3 · step=2/6 P1a=0.9760	muted
2026-05-24T08:35:17.525Z	760.10	WAITING FOR BAND	A-B-A-B-A-B · step 2/6 · counter=0/3	muted
2026-05-24T08:35:17.527Z	760.ADJ	NEXT POLL	20s · mode=DETECT	muted
2026-05-24T08:35:37.532Z	761.1	POLL START	fetching 4 candles	muted
