WallTime,PollStep,Label,Value,Status
2026-05-24T12:43:38.634Z,3.1,"POLL START","fetching 25 candles",muted
2026-05-24T12:43:39.707Z,3.2,"CANDLES","25 in window · fetched 25",ok
2026-05-24T12:43:39.707Z,3.3,"LAST CLOSE","0.22930",info
2026-05-24T12:43:39.708Z,3.4,"TICK SIZE","0.000100",info
2026-05-24T12:43:39.708Z,3.5,"inOsc / dir","false / LONG",muted
2026-05-24T12:43:39.708Z,3.6,"OPEN LONG","none",muted
2026-05-24T12:43:39.709Z,3.7,"OPEN SHORT","none",muted
2026-05-24T12:43:39.709Z,3.8,"CANDLE","NEW — processing tick-pair",ok
2026-05-24T12:43:39.709Z,3.TP1,"TICK-PAIR CLOSE","0.22930 → tick 0.22930",info
2026-05-24T12:43:39.710Z,3.TP2,"OSC 1/6","P1a=0.22930 — waiting for P1b",muted
2026-05-24T12:43:39.710Z,3.9,"OSC COUNTER","0/3 · step=2/6 P1a=0.22930",muted
2026-05-24T12:43:39.710Z,3.10,"WAITING FOR BAND","A-B-A-B-A-B · step 2/6 · counter=0/3",muted
2026-05-24T12:43:59.722Z,6.1,"POLL START","fetching 4 candles",muted
2026-05-24T12:44:00.299Z,6.2,"CANDLES","25 in window · fetched 4",ok
2026-05-24T12:44:00.300Z,6.3,"LAST CLOSE","0.22940",info
2026-05-24T12:44:00.300Z,6.4,"TICK SIZE","0.000100",info
2026-05-24T12:44:00.300Z,6.5,"inOsc / dir","false / LONG",muted
2026-05-24T12:44:00.300Z,6.6,"OPEN LONG","none",muted
2026-05-24T12:44:00.300Z,6.7,"OPEN SHORT","none",muted
2026-05-24T12:44:00.301Z,6.8,"CANDLE","LIVE — 20s sample · detection + trade checks",muted
2026-05-24T12:44:00.301Z,6.TP1,"TICK-PAIR CLOSE","0.22940 → tick 0.22940",info
2026-05-24T12:44:00.301Z,6.TP2,"OSC 2/6","P1a=0.22930 P1b=0.22940 counter=1 — need c3=P1a",warn
2026-05-24T12:44:00.301Z,6.9,"OSC COUNTER","1/3 · step=3/6 P1a=0.22930 P1b=0.22940",muted
2026-05-24T12:44:00.302Z,6.10,"WAITING FOR BAND","A-B-A-B-A-B · step 3/6 · counter=1/3",muted
2026-05-24T12:44:20.312Z,9.1,"POLL START","fetching 4 candles",muted
2026-05-24T12:44:20.853Z,9.2,"CANDLES","26 in window · fetched 4",ok
2026-05-24T12:44:20.853Z,9.3,"LAST CLOSE","0.22940",info
2026-05-24T12:44:20.853Z,9.4,"TICK SIZE","0.000100",info
2026-05-24T12:44:20.853Z,9.5,"inOsc / dir","false / LONG",muted
2026-05-24T12:44:20.853Z,9.6,"OPEN LONG","none",muted
2026-05-24T12:44:20.854Z,9.7,"OPEN SHORT","none",muted
2026-05-24T12:44:20.854Z,9.8,"CANDLE","NEW — processing tick-pair",ok
2026-05-24T12:44:20.854Z,9.TP1,"TICK-PAIR CLOSE","0.22940 → tick 0.22940",info
2026-05-24T12:44:20.854Z,9.TP2,"OSC RESET","c3 0.22940 ≠ P1a 0.22930 → restart",muted
2026-05-24T12:44:20.854Z,9.9,"OSC COUNTER","0/3 · step=1/6",muted
2026-05-24T12:44:20.855Z,9.10,"WAITING FOR BAND","A-B-A-B-A-B · step 1/6 · counter=0/3",muted
